"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.942136917E0,-1.146175817E0,-1.580942394E0,2.686503232E-2,1.952900301E0
1.952139917E0,-5.945828214E-1,-2.036574248E0,3.897110760E-2,2.121952438E0
1.962141917E0,5.118004363E-2,-1.739283532E0,1.374785650E-1,1.745458953E0
1.972144917E0,3.208762646E-1,-1.031380282E0,1.022876823E-1,1.084974486E0
1.982147917E0,2.223082155E-2,-9.986571075E-2,8.267962933E-3,1.026436984E-1
1.992150917E0,-5.029363041E-1,5.244500743E-1,9.241816700E-2,7.324847602E-1
2.002152917E0,-8.025226738E-1,8.263830413E-1,6.621971726E-2,1.153835614E0
2.012155917E0,-8.403950165E-1,9.529800110E-1,-2.571079195E-2,1.270864167E0
2.022158917E0,-7.688779411E-1,9.018130003E-1,2.966760278E-2,1.185461995E0
2.032160917E0,-3.569224123E-1,8.117985506E-1,3.654158950E-2,8.875504396E-1
2.042163917E0,1.129198298E-1,1.871339060E-1,1.915372431E-2,2.194011210E-1
2.052166917E0,5.399297737E-1,-7.858033647E-1,3.784785748E-2,9.541716558E-1
2.062168917E0,8.899821096E-1,-1.103647117E0,8.174641371E-2,1.420136469E0
2.072171917E0,8.152289658E-1,-7.569134416E-1,1.240048259E-1,1.119327218E0
2.082174917E0,-3.788880626E-1,-2.856704167E-1,-2.481207490E-2,4.751624880E-1
2.092176917E0,-1.520628657E0,6.355210785E-2,-4.926162243E-2,1.522753128E0
2.102179917E0,-1.796548969E0,1.404181247E-1,2.678843379E-2,1.802227252E0
2.112182917E0,-1.538284178E0,1.113183049E-1,9.221351445E-2,1.545060941E0
2.122184917E0,-1.712329476E0,-1.867529234E-1,2.815785170E-2,1.722713485E0
2.132187917E0,-1.877687419E0,-4.769375733E-1,7.507240176E-2,1.938766452E0
2.142190917E0,-2.646876943E0,-6.515397450E-1,1.431562114E-1,2.729643803E0
2.152192917E0,-3.322002310E0,-5.442549592E-1,-1.234417391E-1,3.368553201E0
2.162195917E0,-3.647126796E0,-2.156881258E-1,7.757734895E-2,3.654322574E0
2.172198917E0,-3.893517354E0,1.250869080E-1,1.344654948E-1,3.897846211E0
2.182200917E0,-3.921123521E0,3.544724289E-1,2.668727696E-2,3.937203650E0
2.192203917E0,-3.997136155E0,1.129960538E-1,8.597453535E-2,3.999657131E0
2.202206917E0,-3.996077516E0,-2.098689403E-1,4.661634207E-2,4.001856266E0
2.212208917E0,-3.902984873E0,-4.213215624E-1,1.703966349E-1,3.929355900E0
2.222211917E0,-3.318625250E0,-6.557575610E-1,1.023730516E-2,3.382808941E0
2.232214917E0,-2.940056044E0,-8.048828293E-1,1.732436442E-1,3.053158900E0
2.242216917E0,-2.324373326E0,-4.929362132E-1,2.309591711E-2,2.376179894E0
2.252219917E0,-2.260844935E0,-3.570635860E-1,6.545314729E-2,2.289803123E0
2.262222917E0,-2.366454860E0,-1.994077964E-1,2.143179953E-2,2.374938187E0
2.272224917E0,-2.462955991E0,-1.374616446E-1,3.129020512E-2,2.466987433E0
2.282227917E0,-7.922840530E-1,-2.232854131E-1,8.710012436E-3,8.231927239E-1
2.292230917E0,-1.746443447E-1,1.816570932E-2,1.072104532E-1,2.057297290E-1
2.302232917E0,-7.167699672E-1,-2.479235882E-2,7.079223990E-3,7.172335480E-1
2.312235917E0,-1.672413312E-2,-1.052376574E-1,7.279491127E-2,1.290494489E-1
2.322238917E0,6.989540128E-1,-1.314428497E-2,3.567737103E-2,6.999873992E-1
2.332240917E0,5.577496385E-1,8.842866657E-2,6.490409374E-3,5.647534097E-1
2.342243917E0,6.143715167E-3,3.226486288E-2,2.864375532E-2,4.358017131E-2
2.352246917E0,5.273051052E-2,6.760770008E-3,4.720223308E-2,7.109335805E-2
2.362248917E0,8.300233168E-2,2.569860416E-2,6.171736121E-2,1.065778495E-1
2.372251917E0,9.069266279E-2,4.268496662E-2,6.125893950E-2,1.174726484E-1
2.382254917E0,7.386628563E-2,2.936069705E-2,6.245469511E-2,1.010884149E-1
2.392256917E0,4.548169901E-2,6.669425536E-3,6.665533483E-2,8.096912895E-2
2.402259917E0,1.983937430E-2,-8.880330864E-3,6.247866869E-2,6.615168244E-2
2.412262917E0,1.090048905E-3,-5.849189088E-3,4.796354055E-2,4.833117464E-2
2.422265917E0,-4.186213547E-3,1.235021481E-2,2.551198661E-2,2.865159072E-2
2.432267917E0,3.096356504E-3,2.797218433E-2,5.200572073E-2,5.913227130E-2
2.442270917E0,1.946761016E-2,7.639606521E-3,5.020711720E-2,5.438847351E-2
2.452273917E0,1.161905704E-3,2.379880724E-2,4.107318163E-2,4.748409734E-2
2.462275917E0,3.241012964E-2,8.646734599E-3,3.448453903E-2,4.810785752E-2
2.472278917E0,6.019005021E-2,-7.639295887E-3,2.520676196E-2,6.570069889E-2
2.482281917E0,5.295994065E-2,-3.275829479E-3,3.898280203E-2,6.584181974E-2
2.492283917E0,7.147943392E-2,-1.608240120E-3,5.485565364E-2,9.011680557E-2
2.502286917E0,5.219792968E-2,3.053196743E-3,4.842313170E-2,7.126531805E-2
2.512289917E0,5.342142301E-2,2.359278426E-3,5.306640565E-2,7.533563592E-2
2.522291917E0,2.962154682E-2,1.228001168E-2,5.456270814E-2,6.328762788E-2
2.532294917E0,1.924762694E-2,1.309821988E-2,5.336344421E-2,5.822105877E-2
2.542297917E0,-9.196281508E-3,2.064463640E-2,5.620402157E-2,6.057775703E-2
2.552299917E0,-8.331149407E-3,3.133405924E-2,3.464475274E-2,4.744987051E-2
2.562302917E0,-6.181557616E-3,2.222369526E-2,4.616669118E-2,5.160879441E-2
2.572305917E0,-1.627512177E-2,-1.317414232E-3,5.664256275E-2,5.894908891E-2
2.582307917E0,5.504038911E-3,-3.647694122E-3,4.361788988E-2,4.411485503E-2
2.592310917E0,4.616053334E-2,1.141138952E-3,3.897695482E-2,6.042598814E-2
2.602313917E0,5.008000421E-2,6.355996504E-3,4.137255907E-2,6.526939679E-2
2.612315917E0,8.173921432E-2,1.328675603E-2,5.753777146E-2,1.008386443E-1
2.622318917E0,7.121627267E-2,1.371278051E-2,4.615850508E-2,8.596746730E-2
2.632321917E0,4.974446540E-2,4.524063841E-3,3.358640671E-2,6.019157505E-2
2.642323917E0,5.914907224E-2,1.144965224E-2,3.314026415E-2,6.876034025E-2
2.652326917E0,5.268069956E-2,1.045047272E-2,3.568672657E-2,6.448264060E-2
2.662329917E0,2.390652392E-2,8.364021722E-3,5.544797659E-2,6.095864872E-2
2.672331917E0,-1.373109874E-2,-5.224870909E-3,2.925420463E-2,3.273607853E-2
2.682334917E0,-9.577392060E-3,-1.836115250E-2,2.671125054E-2,3.379865775E-2
2.692337917E0,-1.879959318E-2,-1.587862574E-2,4.093109429E-2,4.775887288E-2
2.702339917E0,4.438036680E-4,5.615136009E-3,3.150362849E-2,3.200320800E-2
2.712342917E0,7.015416250E-3,1.078071250E-2,5.635312557E-2,5.780237529E-2
2.722345917E0,4.691958415E-2,1.230630588E-2,5.500943542E-2,7.334119256E-2
2.732347917E0,5.060124694E-2,1.293751281E-2,6.967776060E-2,8.707959435E-2
2.742350917E0,7.144175593E-2,2.751787394E-2,4.931775570E-2,9.106810036E-2
2.752353917E0,6.945129063E-2,1.039731788E-2,3.734441221E-2,7.953735671E-2
2.762355917E0,7.164817178E-2,2.592786983E-2,1.579216003E-2,7.781456979E-2
2.772358917E0,4.901921880E-2,1.329477768E-2,3.494763851E-2,6.165202643E-2
2.782362333E0,3.788267582E-2,2.991252802E-3,5.919604182E-2,7.034355754E-2
2.792364333E0,2.384540224E-2,-8.316293824E-3,5.485331476E-2,6.038749946E-2
2.802367333E0,-7.957192557E-3,6.870021578E-3,3.524058402E-2,3.677516651E-2
2.812370333E0,-1.890392030E-2,-1.144203259E-2,3.599019706E-2,4.223236433E-2
2.822373333E0,5.922480281E-3,-5.880654417E-4,4.661809623E-2,4.699647317E-2
2.832375333E0,6.914350782E-3,8.864762653E-3,4.227595389E-2,4.374526878E-2
2.842378333E0,1.407930957E-2,9.754635785E-3,4.437159598E-2,4.756278384E-2
2.852381333E0,1.930893134E-2,8.271124084E-3,4.197657645E-2,4.693910197E-2
2.862383333E0,5.048122371E-2,1.784824206E-2,5.499832571E-2,7.675760237E-2
2.872386333E0,5.639734514E-2,7.215263117E-3,5.529828787E-2,7.931343645E-2
2.882389333E0,7.656764444E-2,3.231683001E-3,7.550509572E-2,1.075828398E-1
2.892391333E0,8.550729713E-2,2.070912022E-2,5.919077933E-2,1.060373231E-1
2.902394333E0,8.202530762E-2,5.839230549E-3,4.182864189E-2,9.225986661E-2
2.912397333E0,5.878660882E-2,1.755588127E-2,3.120249689E-2,6.883073554E-2
2.922399333E0,2.496296961E-2,1.300227072E-2,3.180242121E-2,4.246884612E-2
2.932402333E0,1.694690290E-2,4.803286660E-3,4.602168024E-2,4.927742011E-2
2.942405333E0,2.407357156E-2,-3.737832606E-4,4.572054863E-2,5.167247941E-2
2.952407333E0,-1.717281556E-3,2.956918683E-3,4.287529349E-2,4.301143123E-2
2.962410333E0,-2.050901754E-3,4.011500571E-3,4.242564261E-2,4.266419442E-2
2.972413333E0,-1.454536920E-2,5.478146710E-3,3.194626272E-2,3.552663168E-2
2.982415333E0,6.968327891E-4,4.195358958E-3,5.110408008E-2,5.128073336E-2
2.992418333E0,3.699752614E-2,4.654895291E-3,5.095439136E-2,6.314138888E-2
3.002421333E0,5.242425347E-2,3.845839815E-2,4.661400318E-2,8.000135019E-2
3.012423333E0,6.113574598E-2,2.492975011E-2,3.898280203E-2,7.667288133E-2
3.022426333E0,6.385825527E-2,-2.236161646E-2,4.122813284E-2,7.923179661E-2
3.032429333E0,6.150994951E-2,1.325125247E-3,4.272443533E-2,7.490398667E-2
3.042431333E0,4.394766371E-2,8.694097046E-3,5.499774098E-2,7.093473044E-2
